id,trigger,conditions,script,text,options,notes
,,,,,,
# 通用的舰队招呼，因为openCommLink用的是指挥官人物的memory，所以获取舰队的状态是entity.xxx,,,,,,
greetingFSFFriendly,OpenCommLink,"$faction.id == aEP_FSF
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","$personName looks a little nervous, but relaxes after seeing your image. ""Please proceed, Captain, with your matters.""
OR
""Greetings to you, friend of the company. There are many crazy people in this Sector; fortunately we are not one of them.""
OR
""Captains like you often need marines for missions, right? The Company has a program to train ordinary crew members to become marines; if you are interested, contact the salesman in the Commercial Center for details.""",,
greetingFSFHostileWeakerDefiant,OpenCommLink,"$faction.id == aEP_FSF
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The image of $personName stares at you without saying a word behind the static of the communicator, and after a short silence turns their head away.
OR
""If only I could add even one more scratch to your fleet, damn it.""",cutCommLink:Cut the comm link,
greetingFSFHostileWeaker,OpenCommLink,"$faction.id == aEP_FSF
$entity.isHostile
$entity.relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Isn't this the time for some rousing speeches?"" The captain of the company smiles at you with defiance, ""Today, let's meet on the battlefield.""
OR
""I like challenging assignments and I never fail to deliver."" $personName says these words through gritted teeth: ""Today is no different.""
",cutCommLink:Cut the comm link,
greetingFSFHostileStronger,OpenCommLink,"$faction.id == aEP_FSF
$entity.isHostile
$entity.relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""I'll make each of your ships eat 2,000 shells each, I swear.""
OR
""Only those with the greater power has the right to decide; and today you've lost that right.""
OR
""Maybe you can run for a bit before I begin blowing your fleet to wreckage.""

",cutCommLink:Cut the comm link,
,,,,,,
,,,,,,
# 通用市场描述,,,,,,
flavorTextMarketFSF,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == aEP_FSF","AddText ""The harbour is divided into several areas, where one can see the warships of the FSF Company parked in a line on the opposite side. Vsitors can be seen convergeing in several interconnected commercial areas, where merchants and principals from different places talk about their matters in the halls. At the edge of the hall, checkpoints of soldiers and security gates clearly separate the restricted area from the public areas, and should attempt to look inside the walls of the restricted area, they would simply be greeted by a protective grey layer, still cold and metallic, as if they were two worlds away from the bustling environment.""",,,
flavorTextMarketFSFMilitrayStation,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == aEP_FSF
$id == aEP_FSF_SpaceFactory","AddText ""As soon as you land you are greeted by staff with security guards, who lead you through the ship-like interior structure of metal and pipes, and eventually to a lounge-like area where you spot the company staff, dressed in black uniforms, talking and laughing with each other. The atmosphere feels slightly awkward, given that outsiders like you are rarely seen here, but at least there is the normal greenery and decorations, with a panoramic screen with simulated sunlight and a natural background playing on a loop, giving you a sense of place.""",,,
,,,,,,
,,,,,,
#  fsf consult greet,,,,,,
aEP_ConsultGreeting01,PickGreeting,"$isaEP_Consult
!$faction.isHostile
",ShowPersonVisual,"$personName gives you a professional smile: ""Hello, welcome to the front desk to the FSF Corporation, what may I do for you?""
","0:aEP_offer_remain_part01:Ask $personName ""I heard that you are buying salvage parts?""
1:aEP_marine_training01:Ask $personName ""I want to train some Marines""
3:cutCommLink:""I'm just browsing.""",
aEP_ConsultGreeting02,PickGreeting,"$isaEP_Consult
$faction.isHostile
","ShowPersonVisual

","$personName looks at you with surprise, ""Are you seriously calling this channel? Last I've checked, you've been classified as a hostile target, to be shot on sight.""",cutCommLink:Cut the comm link,
,,,,,,
,,,,,,
#  offer remain parts,,,,,,
aEP_offer_remain_part01,DialogOptionSelected,$option == aEP_offer_remain_part01,FireAll aEP_offer_remain_part01_Opts,"""One of our services at the Company involves the recycling of these valuable parts. Perhaps you can sell it as raw material elsewhere, but only we understand its true value - and as such, if you were to hand them to us, it would help us a lot - and the same goes for you, as we will also offer you some unique rewards in addition to a substantial bonus.""",,
aEP_part01_Have,aEP_offer_remain_part01_Opts,aEP_CheckItem aEP_remain_part 0 more,"aEP_HandInParts aEP_remain_part 0 none 0 showNum
",,0:aEP_offer_remain_part03:Exchange salvaged parts for special rewards,
aEP_part01_NotHave,aEP_offer_remain_part01_Opts,aEP_CheckItem aEP_remain_part 1 less,,,"0:cutCommLink:""I'm afraid I don't have one of those right now."" 
",
aEP_offer_remain_part02,DialogOptionSelected,$option == aEP_offer_remain_part02,"aEP_HandInParts aEP_remain_part 0 credits 200 chooseNum
",,0:cutCommLink:Cut the comm link,
