id,type,frame,magnitude,map,path
,,,,,
# material --------------------------------------------------------------------#
# ships
aEP_cap_biaobing,ship,,,material,graphics/shaders/material/ships/aEP_cap_biaobing_material.png
aEP_cap_decomposer,ship,,,material,graphics/shaders/material/ships/aEP_cap_decomposer_material.png
aEP_cap_duiliu,ship,,,material,graphics/shaders/material/ships/aEP_cap_duiliu_material.png
aEP_cap_neibo_armor,ship,,,material,graphics/shaders/material/ships/aEP_cap_neibo_armor_material.png
aEP_cap_neibo,ship,,,material,graphics/shaders/material/ships/aEP_cap_neibo_material.png
aEP_cap_neibo_turret,ship,,,material,graphics/shaders/material/ships/aEP_cap_neibo_turret_material.png
aEP_cap_nuanchi,ship,,,material,graphics/shaders/material/ships/aEP_cap_nuanchi_material.png
aEP_cap_shangshengliu,ship,,,material,graphics/shaders/material/ships/aEP_cap_shangshengliu_material.png
aEP_cap_shangshengliu_mk2,ship,,,material,graphics/shaders/material/ships/aEP_cap_shangshengliu_mk2_material.png
aEP_cap_shangshengliu_mk3,ship,,,material,graphics/shaders/material/ships/aEP_cap_shangshengliu_mk3_material.png
aEP_cru_hailiang3,ship,,,material,graphics/shaders/material/ships/aEP_cru_hailiang3_material.png
aEP_cru_hailiang4,ship,,,material,graphics/shaders/material/ships/aEP_cru_hailiang4_material.png
aEP_cru_hailiang,ship,,,material,graphics/shaders/material/ships/aEP_cru_hailiang_material.png
aEP_cru_lengshe2,ship,,,material,graphics/shaders/material/ships/aEP_cru_lengshe2_material.png
aEP_cru_lengshe,ship,,,material,graphics/shaders/material/ships/aEP_cru_lengshe_material.png
aEP_cru_pingding,ship,,,material,graphics/shaders/material/ships/aEP_cru_pingding_material.png
aEP_cru_pubu,ship,,,material,graphics/shaders/material/ships/aEP_cru_pubu_material.png
aEP_cru_requan,ship,,,material,graphics/shaders/material/ships/aEP_cru_requan_material.png
aEP_cru_shanhu,ship,,,material,graphics/shaders/material/ships/aEP_cru_shanhu_material.png
aEP_cru_zhongliu,ship,,,material,graphics/shaders/material/ships/aEP_cru_zhongliu_material.png
aEP_des_cengliu,ship,,,material,graphics/shaders/material/ships/aEP_des_cengliu_material.png
aEP_des_lianliu,ship,,,material,graphics/shaders/material/ships/aEP_des_lianliu_material.png
aEP_des_shenceng,ship,,,material,graphics/shaders/material/ships/aEP_des_shenceng_material.png
aEP_des_shenceng_mk2,ship,,,material,graphics/shaders/material/ships/aEP_des_shenceng_mk2_material.png
aEP_des_shuishi,ship,,,material,graphics/shaders/material/ships/aEP_des_shuishi_material.png
