id,type,frame,magnitude,map,path
,,,,,
# material ------------------------------------------------------------------------#,,,,,
# weapons,,,,,
aEP_cap_biaobing_radar,turret,,,material,graphics/shaders/material/weapons/aEP_cap_biaobing/radar_material.png
aEP_cap_duiliu_armor_l1,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/armor_l1_material.png
aEP_cap_duiliu_armor_l2,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/armor_l2_material.png
aEP_cap_duiliu_armor_l3,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/armor_l3_material.png
aEP_cap_duiliu_armor_r1,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/armor_r1_material.png
aEP_cap_duiliu_armor_r2,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/armor_r2_material.png
aEP_cap_duiliu_armor_r3,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/armor_r3_material.png
aEP_cap_duiliu_gun_cover,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/gun_cover_material.png
aEP_cap_duiliu_radar,turret,,,material,graphics/shaders/material/weapons/aEP_cap_duiliu/radar_material.png
aEP_cap_neibo_main,turret,0,,material,graphics/shaders/material/weapons/aEP_cap_neibo/main00_material.png
aEP_cap_neibo_main,turret,1,,material,graphics/shaders/material/weapons/aEP_cap_neibo/main01_material.png
aEP_cap_neibo_main,turret,2,,material,graphics/shaders/material/weapons/aEP_cap_neibo/main02_material.png
aEP_cap_neibo_main,turret,3,,material,graphics/shaders/material/weapons/aEP_cap_neibo/main03_material.png
aEP_cap_neibo_main,turret,4,,material,graphics/shaders/material/weapons/aEP_cap_neibo/main04_material.png
aEP_cap_nuanchi_radar,turret,,,material,graphics/shaders/material/weapons/aEP_cap_nuanchi/radar_material.png
aEP_cap_neibo_fin_l,turret,,,material,graphics/shaders/material/weapons/aEP_cap_neibo/fin_l_material.png
aEP_cap_neibo_fin_r,turret,,,material,graphics/shaders/material/weapons/aEP_cap_neibo/fin_r_material.png
aEP_cap_requan_missile,turret,,,material,graphics/shaders/material/weapons/aEP_cap_nuanchi/large_material.png
aEP_cap_shangshengliu_armor,turret,,,material,graphics/shaders/material/weapons/aEP_cap_shangshengliu/armor_material.png
aEP_cap_shangshengliu_armor_dark,turret,,,material,graphics/shaders/material/weapons/aEP_cap_shangshengliu/armor_dark_material.png
aEP_cap_shangshengliu_bottom,turret,,,material,graphics/shaders/material/weapons/aEP_cap_shangshengliu/bottom_material.png
