id,type,frame,magnitude,map,path
,,,,,
# normal ----------------------------------------------------------------------#,,,,,
# ships,,,,,
aEP_cap_biaobing,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_biaobing_normal.png
aEP_cap_decomposer,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_decomposer_normal.png
aEP_cap_duiliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_duiliu_normal.png
aEP_cap_neibo_armor,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_neibo_armor_normal.png
aEP_cap_neibo,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_neibo_normal.png
aEP_cap_neibo_turret,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_neibo_turret_normal.png
aEP_cap_nuanchi,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_nuanchi_normal.png
aEP_cap_shangshengliu_mk2,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_shangshengliu_mk2_normal.png
aEP_cap_shangshengliu_mk3,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_shangshengliu_mk3_normal.png
aEP_cap_shangshengliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_cap_shangshengliu_normal.png
aEP_cru_hailiang3,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_hailiang3_normal.png
aEP_cru_hailiang4,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_hailiang4_normal.png
aEP_cru_hailiang,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_hailiang_normal.png
aEP_cru_lengshe_front,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_lengshe2_normal.png
aEP_cru_lengshe,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_lengshe_normal.png
aEP_cru_pubu,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_pubu_normal.png
aEP_cru_requan,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_requan_normal.png
aEP_cru_shanhu,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_shanhu_normal.png
aEP_cru_zhongliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_cru_zhongliu_normal.png
aEP_des_cengliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_cengliu_normal.png
aEP_des_lianliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_lianliu_normal.png
aEP_des_chongji,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_chongji_normal.png
aEP_des_shendu_mk2,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_shenceng_mk2_normal.png
aEP_des_shendu,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_shenceng_normal.png
aEP_des_shuishi,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_shuishi_normal.png
aEP_des_taodong,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_taodong_normal.png
aEP_des_yangji_mk2,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_yangji_mk2_normal.png
aEP_des_yangji,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_yangji_normal.png
aEP_des_yonglang_mk2_l,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_yonglang_mk2_l_normal.png
aEP_des_yonglang_mk2_m,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_yonglang_mk2_m01_normal.png
aEP_des_yonglang_mk2_r,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_yonglang_mk2_r_normal.png
aEP_des_yonglang_mk2,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_yonglang_mk2_normal.png
aEP_des_youjiyan_mk2,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_youjiyan_mk2_normal.png
aEP_des_youjiyan,ship,,1,normal,graphics/shaders/normal/ships/aEP_des_youjiyan_normal.png
aEP_fga_chichao,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_chichao_normal.png
aEP_fga_raoliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_raoliu_normal.png
aEP_fga_wanliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_wanliu_normal.png
aEP_fga_xiliu_mk2,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_xiliu_mk2_normal.png
aEP_fga_xiliu,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_xiliu_normal.png
aEP_fga_yonglang,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_yonglang_normal.png
aEP_fga_shuangshen,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_shuangshen_normal.png
aEP_fga_shuangshen2,ship,,1,normal,graphics/shaders/normal/ships/aEP_fga_shuangshen2_normal.png
aEP_fga_shuangshen3,ship,,1,normal,graphics/shaders/normal/fighters/ut_shuangshen3_normal.png
aEP_typeA28,ship,,1,normal,graphics/shaders/normal/ships/aEP_typeA28_normal.png
aEP_typeB28,ship,,1,normal,graphics/shaders/normal/ships/aEP_typeB28_normal.png
aEP_typeL28,ship,,1,normal,graphics/shaders/normal/ships/aEP_typeL28_normal.png
aEP_typeR28,ship,,1,normal,graphics/shaders/normal/ships/aEP_typeR28_normal.png
aEP_ftr_bom_attacker,ship,,1,normal,graphics/shaders/normal/fighters/bom_attacker_normal.png
aEP_ftr_bom_lancer,ship,,1,normal,graphics/shaders/normal/fighters/bom_lancer_normal.png
aEP_ftr_bom_nuke,ship,,1,normal,graphics/shaders/normal/fighters/bom_nuke_normal.png
aEP_ftr_ftr_helicop,ship,,1,normal,graphics/shaders/normal/fighters/ftr_helicop_normal.png
