id,type,frame,magnitude,map,path
,,,,,
# normal ------------------------------------------------------------------------#,,,,,
# weapons,,,,,
aEP_cap_biaobing_radar,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_biaobing/radar_normal.png
aEP_cap_duiliu_armor_l1,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/armor_l1_normal.png
aEP_cap_duiliu_armor_l2,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/armor_l2_normal.png
aEP_cap_duiliu_armor_l3,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/armor_l3_normal.png
aEP_cap_duiliu_armor_r1,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/armor_r1_normal.png
aEP_cap_duiliu_armor_r2,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/armor_r2_normal.png
aEP_cap_duiliu_armor_r3,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/armor_r3_normal.png
aEP_cap_duiliu_gun_cover,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/gun_cover.png
aEP_cap_duiliu_radar,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_duiliu/radar_normal.png
aEP_cap_neibo_main,turret,0,1,normal,graphics/shaders/normal/weapons/aEP_cap_neibo/main00_normal.png
aEP_cap_neibo_main,turret,1,1,normal,graphics/shaders/normal/weapons/aEP_cap_neibo/main01_normal.png
aEP_cap_neibo_main,turret,2,1,normal,graphics/shaders/normal/weapons/aEP_cap_neibo/main02_normal.png
aEP_cap_neibo_main,turret,3,1,normal,graphics/shaders/normal/weapons/aEP_cap_neibo/main03_normal.png
aEP_cap_neibo_main,turret,4,1,normal,graphics/shaders/normal/weapons/aEP_cap_neibo/main04_normal.png
aEP_cap_nuanchi_radar,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_nuanchi/radar_normal.png
aEP_cap_neibo_fin_l,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_neibo/fin_l_normal.png
aEP_cap_neibo_fin_r,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_neibo/fin_r_normal.png
aEP_cap_requan_missile,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_nuanchi/large_normal.png
aEP_cap_shangshengliu_armor,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu/armor_normal.png
aEP_cap_shangshengliu_armor_dark,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu/armor_dark_normal.png
aEP_cap_shangshengliu_bottom,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu/bottom_normal.png
aEP_cap_shangshengliu_hull,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu/hull_normal.png
aEP_cap_shangshengliu_mk3_thruster_l,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu_mk3/l_normal.png
aEP_cap_shangshengliu_mk3_thruster_r,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu_mk3/r_normal.png
aEP_cap_shangshengliu_top,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu/top_normal.png
aEP_cap_shangshengliu_top_cover,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_shangshengliu/top_cover_normal.png
aEP_cap_sta_main,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cap_sta/main_normal.png
aEP_cap_sta_main,turretbarrel,,1,normal,graphics/shaders/normal/weapons/aEP_cap_sta/br_normal.png
aEP_cru_hailiang_clipper,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_hailiang/clipper_normal.png
aEP_cru_hailiang_holder_l,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_hailiang/OilHolderL_normal.png
aEP_cru_hailiang_holder_r,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_hailiang/OilHolderR_normal.png
aEP_cru_hailiang_oil,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_hailiang/Oil00_normal.png
aEP_cru_lengshe_cover,turret,,1,normal,graphics/shaders/normal/weapons/aEP_lengshe/cover_normal.png
aEP_cru_pingding_main,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pingding/br_normal.png
aEP_cru_pingding_main,turretbarrel,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pingding/br_normal.png
aEP_cru_pingding_main,hardpoint,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pingding/br_normal.png
aEP_cru_pingding_main,hardpointbarrel,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pingding/br_normal.png
aEP_cru_pingding_torpedo,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pingding/torpedo_normal.png
aEP_cru_pubu_armor_hold,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pubu/armor_hold_normal.png
aEP_cru_pubu_armor_hold2,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pubu/armor_hold2_normal.png
aEP_cru_pubu_armor_hold3,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pubu/armor_hold3_normal.png
aEP_cru_pubu_armor_hold4,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pubu/armor_hold4_normal.png
aEP_cru_pubu_pod,turret,1,1,normal,graphics/shaders/normal/weapons/aEP_cru_pubu/pod01_normal.png
aEP_cru_pubu_pod_hold,turret,,1,normal,graphics/shaders/normal/weapons/aEP_cru_pubu/pod_hold_normal.png
