id,type,frame,magnitude,map,path
,,,,,
# normal ----------------------------------------------------------------------#,,,,,
# ships,,,,,
aEP_cap_biaobing,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_biaobing_surface.png
aEP_cap_decomposer,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_decomposer_surface.png
aEP_cap_duiliu,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_duiliu_surface.png
aEP_cap_neibo_armor,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_neibo_armor_surface.png
aEP_cap_neibo,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_neibo_surface.png
aEP_cap_neibo_turret,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_neibo_turret_surface.png
aEP_cap_nuanchi,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_nuanchi_surface.png
aEP_cap_shangshengliu_mk2,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_shangshengliu_mk2_surface.png
aEP_cap_shangshengliu_mk3,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_shangshengliu_mk3_surface.png
aEP_cap_shangshengliu,ship,,,surface,graphics/shaders/surface/ships/aEP_cap_shangshengliu_surface.png
aEP_cru_hailiang3,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_hailiang3_surface.png
aEP_cru_hailiang4,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_hailiang4_surface.png
aEP_cru_hailiang,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_hailiang_surface.png
aEP_cru_lengshe_front,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_lengshe2_surface.png
aEP_cru_lengshe,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_lengshe_surface.png
aEP_cru_pingding,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_pingding_surface.png
aEP_cru_pubu,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_pubu_surface.png
aEP_cru_requan,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_requan_surface.png
aEP_cru_shanhu,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_shanhu_surface.png
aEP_cru_zhongliu,ship,,,surface,graphics/shaders/surface/ships/aEP_cru_zhongliu_surface.png
aEP_des_cengliu,ship,,,surface,graphics/shaders/surface/ships/aEP_des_cengliu_surface.png
aEP_des_lianliu,ship,,,surface,graphics/shaders/surface/ships/aEP_des_lianliu_surface.png
aEP_des_shendu_mk2,ship,,,surface,graphics/shaders/surface/ships/aEP_des_shenceng_mk2_surface.png
aEP_des_shendu,ship,,,surface,graphics/shaders/surface/ships/aEP_des_shenceng_surface.png
aEP_des_shuishi,ship,,,surface,graphics/shaders/surface/ships/aEP_des_shuishi_surface.png
aEP_des_taodong,ship,,,surface,graphics/shaders/surface/ships/aEP_des_taodong_surface.png
aEP_des_yangji_mk2,ship,,,surface,graphics/shaders/surface/ships/aEP_des_yangji_mk2_surface.png
aEP_des_yangji,ship,,,surface,graphics/shaders/surface/ships/aEP_des_yangji_surface.png
aEP_des_yonglang_mk2_l,ship,,,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_l_surface.png
aEP_des_yonglang_mk2_m,ship,,,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_m01_surface.png
aEP_des_yonglang_mk2_r,ship,,,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_r_surface.png
aEP_des_yonglang_mk2,ship,,,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_surface.png
aEP_des_youjiyan_mk2,ship,,,surface,graphics/shaders/surface/ships/aEP_des_youjiyan_mk2_surface.png
aEP_des_youjiyan,ship,,,surface,graphics/shaders/surface/ships/aEP_des_youjiyan_surface.png
aEP_fga_chichao,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_chichao_surface.png
aEP_fga_raoliu,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_raoliu_surface.png
aEP_fga_wanliu,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_wanliu_surface.png
aEP_fga_xiliu_mk2,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_xiliu_mk2_surface.png
aEP_fga_xiliu,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_xiliu_surface.png
aEP_fga_yonglang,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_yonglang_surface.png
aEP_fga_shuangshen,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_shuangshen_surface.png
aEP_fga_shuangshen2,ship,,,surface,graphics/shaders/surface/ships/aEP_fga_shuangshen2_surface.png
aEP_fga_shuangshen3,ship,,,surface,graphics/shaders/surface/fighters/ut_shuangshen3_surface.png
aEP_typeA28,ship,,,surface,graphics/shaders/surface/ships/aEP_typeA28_surface.png
aEP_typeB28,ship,,,surface,graphics/shaders/surface/ships/aEP_typeB28_surface.png
aEP_typeL28,ship,,,surface,graphics/shaders/surface/ships/aEP_typeL28_surface.png
aEP_typeR28,ship,,,surface,graphics/shaders/surface/ships/aEP_typeR28_surface.png
aEP_ftr_bom_attacker,ship,,,surface,graphics/shaders/surface/fighters/bom_attacker_surface.png
aEP_ftr_bom_lancer,ship,,,surface,graphics/shaders/surface/fighters/bom_lancer_surface.png
aEP_ftr_bom_nuke,ship,,,surface,graphics/shaders/surface/fighters/bom_nuke_surface.png
aEP_ftr_ftr_helicop,ship,,,surface,graphics/shaders/surface/fighters/ftr_helicop_surface.png
aEP_ftr_ftr_hvfighter,ship,,,surface,graphics/shaders/surface/fighters/ftr_hvfighter_surface.png
