id,type,frame,magnitude,map,path
,,,,,
# surface ------------------------------------------------------------------------#
# weapons
aEP_cap_biaobing_radar,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_biaobing/radar_surface.png
aEP_cap_duiliu_armor_l1,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/armor_l1_surface.png
aEP_cap_duiliu_armor_l2,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/armor_l2_surface.png
aEP_cap_duiliu_armor_l3,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/armor_l3_surface.png
aEP_cap_duiliu_armor_r1,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/armor_r1_surface.png
aEP_cap_duiliu_armor_r2,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/armor_r2_surface.png
aEP_cap_duiliu_armor_r3,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/armor_r3_surface.png
aEP_cap_duiliu_gun_cover,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/gun_cover.png
aEP_cap_duiliu_radar,turret,,,surface,graphics/shaders/surface/weapons/aEP_cap_duiliu/radar_surface.png
aEP_cap_neibo_gun,turret,0,1,surface,graphics/shaders/surface/weapons/aEP_cap_neibo/main00_surface.png
aEP_cap_neibo_gun,turret,1,1,surface,graphics/shaders/surface/weapons/aEP_cap_neibo/main01_surface.png
aEP_cap_neibo_gun,turret,2,1,surface,graphics/shaders/surface/weapons/aEP_cap_neibo/main02_surface.png
aEP_cap_neibo_gun,turret,3,1,surface,graphics/shaders/surface/weapons/aEP_cap_neibo/main03_surface.png
aEP_cap_neibo_gun,turret,4,1,surface,graphics/shaders/surface/weapons/aEP_cap_neibo/main04_surface.png
aEP_cru_zhongliu_head_l,turret,,,surface,graphics/shaders/surface/weapons/aEP_cru_zhongliu/head_l_surface.png
aEP_cru_zhongliu_head_r,turret,,,surface,graphics/shaders/surface/weapons/aEP_cru_zhongliu/head_r_surface.png
aEP_cru_zhongliu_slide_l,turret,,,surface,graphics/shaders/surface/weapons/aEP_cru_zhongliu/slide_l_surface.png
aEP_cru_zhongliu_slide_r,turret,,,surface,graphics/shaders/surface/weapons/aEP_cru_zhongliu/slide_r_surface.png
aEP_cru_pingding_armor1,turret,,,surface,graphics/shaders/surface/weapons/aEP_cru_pingding/armor1_surface.png
aEP_cru_pingding_armor2,turret,,,surface,graphics/shaders/surface/weapons/aEP_cru_pingding/armor2_surface.png
aEP_des_taodong_cover,turret,,,surface,graphics/shaders/surface/weapons/aEP_des_taodong/cover_surface.png
aEP_ftr_ut_shuangshen3_main_cover,turret,,1,surface,graphics/shaders/surface/ships/aEP_fga_shuangshen2_surface.png
aEP_ftr_ut_shuangshen3_empennage_l,turret,,1,surface,graphics/shaders/surface/weapons/aEP_fighters/aEP_shuangshen3/empennage_l_surface.png
