name,id,tech/manufacturer,uiTags,desc,short,sModDesc
,,,,,,
FSF舰体设计,aEP_SpecialHull,FSF设计,,"一种对舰内重力生成器更高级的运用，预制在船壳中的引力机关允许其接受或者发送力场推动附近拥有相同插件的舰船，公司的舰船能在密集阵型中更迅速的穿行

尽管普遍拥有较低的最大速度，若舰船处于安全位置，系统可以启用引擎加力，执行长距离移动",,
发射平台设计,aEP_MissilePlatform,FSF设计,,"本舰内置的先进导弹工厂占据了原本用于储存导弹的空间，使其能以牺牲初始载弹量为代价，源源不断的生产高质量导弹。对所有安装在导弹槽位，复合槽位上的导弹武器生效。

舰船拥有一种叫{%s}的资源，每当一个导弹武器弹药不满时，会消耗该资源为其生产弹药。锻炉功率会随着时间自然回复。锻炉功率越高，弹药产生速度越快。",,
标兵武器校准雷达,aEP_BBAdjustRange,FSF设计,,"标兵级舰体中央的激光雷达以一种另辟蹊径的方式为这艘战舰提供的所需的射程，当然也不兼容常规的目标定位系统

实弹/能量武器射程{%s}",,
有限定位系统,aEP_LimitedTurret,FSF设计,,"一种复古的分布式目标定位仪，大量使用机械计算器而不是电子系统，一是显著的提升了武器系统对冲击的抗性，二是允许船员使用手持工具修复其下线的大部分功能

实弹/能量武器射程{%s}，所有武器的生命值{%s}，战斗中修复时间{%s}。不兼容常规的定位系统",,
拖拽连接器,aEP_Tugboat,FSF设计,,本舰充足的动力足以拖动其他舰船，将舰队中宇宙航速最低的一艘舰船的最大速度提升至与本舰相同,,
更换主炮-隐藏,aEP_PingdingMainSwapHidden,FSF设计,,,,
更换主炮,aEP_PingdingMainSwap1,FSF设计,,"移除这个插件以更换本舰船的内置武器",,
平原机坪,aEP_OpenFieldHangar,FSF设计,,"中央大到可以称之为平原的开放式甲板能在在一个联队中同时运行更多的战机而不用考虑起降与整备的空间问题，尽管这样剥削一张LPC会让它的性能略微下降

本舰非内置甲板上的战机联队会不限时的被额外部署到{%s}的数量，但所有战机对敌方舰船的伤害{%s}",,
神速芯控,aEP_AcceleratedGunnery,FSF设计,,"调整过的机控芯片加速了所有武器相关机械系统的工作频率，增加武器的射击速度。这种内置超载协议的机控芯片只有少数在建造时就使用更昂贵合金制造武器底座的舰船上才能长期稳定运行

所有实弹/能量武器的射速{%s}，在战术系统激活时上述加成变为{%s}",,
巡航导弹运载舰,aEP_CruiseMissileCarrier,FSF设计,,随时间装载货舱中的巡航导弹，完成装载后可以于战斗中发射,,
自旋模块,aEP_SelfRotate,FSF设计,,本舰的模块将以一定速度绕母舰旋转,,
模块定位,aEP_ModuleTargeting,FSF设计,,"并非使用星域中常见的模块化插件，而是量身定制的目标定位系统。借助母舰更大的空间使得模块能够获得超过自己舰体级别的射程，但同时也使得一些极端的改装无法进行

本舰的实弹/能量武器射程{%s}",,
进攻性母舰,aEP_AttackCarrier,FSF设计,,本舰为了将重型战机投送到远距离做了特殊适配，战机预先安装了共振模块，可以在远距离接受母舰导轨产生的驱动立场,,
扫射,aEP_Strafe,FSF设计,,"本舰会随时间补充扫射能量，如果任何大槽武器处于冷却状态，就会消耗扫射能量抵消武器的冷却时间

完全补充扫射能量需要{%s}秒，充满时最多抵消{%s}秒的大槽武器冷却时间，冷却时间抵消后武器射击间隔最短为{%s}秒

当本舰的战术系统充能次数耗尽时，会立刻消耗{%s}的扫射能量补充一次系统充能。本舰每次使用战术系统后，会从内置的导弹发射器发射数波干扰目标点防御的低威力导弹",,
预制反应装甲,aEP_ReactiveArmor,FSF设计,Defenses,"在装甲中内置爆炸反应模块，在遭到高伤害武器攻击时会被触发，大幅度减少本次伤害

当船体受到>={%s}的伤害时被触发，本次伤害减少{%s}，限{%s}次",,
线列目标定位,aEP_TargetSystem,FSF设计,,"包含光学观瞄，无线电，激光测距等多项设备的复合定位系统，能在较小的舰体上实现主力舰级别的射击能力

所有非PD的实弹/能量武器射程{%s}，PD武器射程{%s}，但是武器射程超过{%s}的部分会受到{%s}的降低",,
机动躲避,aEP_HighSpeedManeuver,FSF设计,,本舰的体型允许使用爆发性的变向机动在短时间内躲避伤害，但连续的克服惯性会导致引擎的表现开始下降,,
多炮塔优化,aEP_HLMultiTurret,FSF设计,,"本舰在设计之初就为了承受较多的槽位将一部分改装空间更高效的内置于舰体中

小中大武器安装消耗装配点减少{%s/%s/%s}。",,
近程追踪火控,aEP_CloseTargeting,FSF设计,,"用于近距离射击小尺寸目标的火控系统，能帮助武器精确的锁定目标弱点部位

本舰的PD武器射程{%s}，所有能量/实弹武器的后坐力与最大扩散{%s}，弹丸飞行速度{%s}",,
护盾调控,aEP_FocusOnShield,FSF设计,,"将舰船原本用于武器及火控系统的能源优先供给给护盾系统使用，强化护盾的运行效率

护盾承受的伤害降低{%s}，实弹/能量武器幅能消耗增加{%s}，战斗中护盾展开的最大角度不能超过{%s}",,
泰坦杀手,aEP_TitanicKiller,FSF设计,,"无畏舰的使命就是击败同级别的战舰，只有超越平庸的精英对手才能完全激发这艘战舰的潜能。

根据目标舰体级别，对于基础部署点超过一定平均水平的敌方舰船，每超过一定值，对其伤害{%s}，最多{%s}",,
双生战机,aEP_TwinFighter,FSF设计,,位于本舰前半部分的火力模块是一架独立的的舰载机，必要情况下可以出击与本舰协同攻击目标,,
,,,,,,
,,,,,,
,,,,,,
精英化防御方案,aEP_EliteShip,FSF设计,Defenses,"有时一到两艘舰船的溃败会导致整个战线失守，此项改造以不计成本为指导最大化单舰防御能力，包含对舰船机械部件的全面维护，使用无人机修复所有舰内管道系统存在的细微泄露，并用更先进材料替换了战舰的主装甲带

除了常规的属性增加，一种应急护盾系统也被安装到舰船中，在主系统过载的瞬间，发射一架无人机在数秒内撑起保护整个舰船的战舰级护盾并在之后烧毁",,
折叠重建工厂,aEP_EmergencyReconstruct,FSF设计,Defenses,来源于无人舰船技术的自动化维修方案，装备有能够覆盖整个舰船的折叠龙门架，在舰船遭受致命伤害时不会被立刻摧毁，而是展开一个自动化建设工厂对舰船进行完全重建。,,
受控护盾,aEP_ShieldControlled,FSF设计,Shields,特殊的护盾发生器会联动舰船的目标定位系统，捕捉一定距离外发射的弹丸和光束，在其击中护盾的前一刻硬化护盾，大幅度减少护盾承受的冲击,,
