name,id,tech/manufacturer,uiTags,desc,short,sModDesc
,,,,,,
FSF Ship Design,aEP_SpecialHull,FSF Design,,"A high level implementation of a ship-wide gravity field, the shell is designed to receive or transmit force to a nearby friendly ship. A fleet composed entirely of FSF ships can swiftly switch between different formations.",,
Missile Platform,aEP_MissilePlatform,FSF Design,,"An integrated missile factory has utilized all available space at the cost of maximum ammunition to continuously produce ammo. This applies to all missile weapons mounted in missile or composite slots.

This ship has a resource called %s which regenerates over time. Whenever a missile weapon is not full, this resource is consumed to produce ammo. The more costly the missile round, the greater the consumption.",,
FCS Radar,aEP_BBAdjustRange,FSF Design,,"The wave radar provides half of the ship's targeting capability, with the other half being enhanced by this modification:

Weapon range %s",,
Limited Targeting System,aEP_LimitedTurret,FSF Design,,"An outdated but durable targeting system with mechanical computing, strong against any type of impact, whether physical or EMP.

Weapon range %s, durability %s, repair time in battle %s",,
Towline,aEP_Tugboat,FSF Design,,"The powerful engine of this ship can tow a slower, friendly fleet member, allowing it to travel at the same speed.",,
Main Gun Swapper Hidden,aEP_PingdingMainSwapHidden,FSF Design,,,,
Main Gun Swapper,aEP_PingdingMainSwap1,FSF Design,,Remove this hullmod to switch between different built-in weapons.,,
Open Field Hanger,aEP_OpenFieldHangar,FSF Design,,"The large open deck at the center of the ship allows for the deployment of more fighters in a wing, but doubling the workload for a single LPC chip slightly reduces its performance.

All non-built-in wings will be infinitely redeployed to %s, but they deal %s damage to enemy ships.",,
Accelerated Gunnery,aEP_AcceleratedGunnery,FSF Design,,"The fine-tuned control chip accelerates all movements related to weapon cycling. Only ships pre-built with above-average steel can withstand its long-term side effects.

Weapon Rate of Fire and ammo regeneration speed are %s. Their flux produced per shot also %s.",,
Cruise Missile Carrier,aEP_CruiseMissileCarrier,FSF Design,,A specialized cruise missile vessel allows you to load cruise missiles in the Intel page.,,
Anchored Self Rotate,aEP_SelfRotate,FSF Design,,This module continuously rotates around its axis.,,
Module Targeting Unit,aEP_ModuleTargeting,FSF Design,,"A simple but practical system for ship module targeting, heavily relying on the sensors of parent vessel makes common targeting modifications unavailable.

Weapon range %s",,
