name,id,designation,tech/manufacturer,
,,,,
,,,,
Examplar,aEP_cap_biaobing,Battleship,hightech,
Upwelling,aEP_cap_shangshengliu,Armored Freighter,FSF Manufacture,
Upwelling MK.II,aEP_cap_shangshengliu_mk2,Armored Tanker,FSF Manufacture,
Upwelling Mod,aEP_cap_shangshengliu_mk3,Converted Battlecruiser,FSF Private Conversion,
Warmpool,aEP_cap_nuanchi,Missile Battleship,FSF Manufacture,
Decomposer,aEP_cap_decomposer,Carrier,FSF Manufacture,
Thermocline,aEP_cap_duiliu,Battleship,FSF Manufacture,
Pycnocline,aEP_cap_neibo,Battlecruiser,FSF Manufacture,
--Turret,aEP_cap_neibo_turret,Module,FSF Manufacture,
--Armor,aEP_cap_neibo_armor,Module,FSF Manufacture,
,,,,
,,,,
,,,,
Corallite,aEP_cru_shanhu,Carrier Cruiser,FSF Manufacture,
Barrier,aEP_cru_baojiao,Carrier Cruiser,FSF Manufacture,
Mainstream,aEP_cru_zhongliu,Cruiser,FSF Manufacture,
Thermalvent,aEP_cru_requan,Missile Cruiser,FSF Manufacture,
Volume,aEP_cru_hailiang,Cruiser,FSF Manufacture,
--Battery,aEP_cru_hailiang3,Module,FSF Manufacture,
--Shield,aEP_cru_hailiang4,Module,FSF Manufacture,
,,,,
,,,,
,,,,
Hydration,aEP_des_shuishi,Carrier Destroyer,FSF Manufacture,
Pelagic,aEP_des_yuanyang,Carrier Destroyer,FSF Manufacture,
Depth,aEP_des_shendu,Missile Destroyer,FSF Manufacture,
Alluvium,aEP_des_chongji,Destroyer,FSF Manufacture,
Oceanridge,aEP_des_yangji,Destroyer,FSF Manufacture,
Ripcurrent,aEP_des_lianliu,Destroyer,FSF Manufacture,
Nutrients,aEP_des_youjiyan,Armored Freighter,FSF Manufacture,
Nutrients MK.II,aEP_des_youjiyan_mk2,Armored Tanker,FSF Manufacture,
Swell Mod,aEP_des_yonglang_mk2,Destroyer,FSF Private Conversion,
--Left Armor,aEP_des_yonglang_mk2_l,Module,FSF Private Conversion,
--Right Armor,aEP_des_yonglang_mk2_r,Module,FSF Private Conversion,
--Front Armor,aEP_des_yonglang_mk2_m,Module,FSF Private Conversion,
,,,,
,,,,
Breakwater,aEP_fga_wanliu,Frigate,FSF Manufacture,
Swell,aEP_fga_yonglang,Frigate,FSF Manufacture,
Rivulet,aEP_fga_xiliu,Frigate,FSF Manufacture,
Rivulet MK.II,aEP_fga_xiliu_mk2,Frigate,FSF Manufacture,
Turbulence,aEP_fga_raoliu,Frigate,FSF Manufacture,
,,,,
,,,,
Mutilation,aEP_ftr_icp_gunship,,FSF Manufacture,
Lead,aEP_ftr_ftr_hvfighter,,FSF Manufacture,
Longspike,aEP_ftr_ftr_helicop,,FSF Manufacture,
Guardian,aEP_ftr_sup_guardian,,FSF Manufacture,
Fence,aEP_ftr_sup_shield,,FSF Manufacture,
Crush,aEP_ftr_sup_tank,,FSF Manufacture,
March,aEP_ftr_bom_attacker,,FSF Manufacture,
Radere,aEP_ftr_bom_nuke,,FSF Manufacture,
Luddic's Lancer,aEP_ftr_bom_lancer,,FSF Private Conversion,
Reinvention,aEP_ftr_ut_repair,,FSF Manufacture,
