id,type,frame,magnitude,map,path
aEP_cap_biaobing,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_biaobing_normal.png
aEP_cap_shangshengliu,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_shangshengliu_normal.png
aEP_cap_shangshengliu_mk2,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_shangshengliu_mk2_normal.png
aEP_cap_shangshengliu_mk3,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_shangshengliu_mk3_normal.png
aEP_cap_nuanchi,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_nuanchi_normal.png
aEP_cap_decomposer,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_decomposer_Proto_normal.png
aEP_cap_duiliu,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_duiliu_normal.png
aEP_cap_neibo,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_neibo_normal.png
aEP_cap_neibo_turret,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_neibo_tr_normal.png
aEP_cap_neibo_armor,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cap_neibo_armor_normal.png
aEP_cru_shanhu,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cru_shanhu_normal.png
aEP_cru_zhongliu,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cru_zhongliu_normal.png
aEP_cru_requan,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cru_requan_normal.png
aEP_cru_hailiang,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cru_hailiang_normal.png
aEP_cru_hailiang3,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cru_hailiang3_normal.png
aEP_cru_hailiang4,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_cru_hailiang4_normal.png
aEP_des_shuishi,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_shuishi_normal.png
aEP_des_shendu,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_shenceng_normal.png
aEP_des_yangji,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_yangji_mk2_normal.png
aEP_des_lianliu,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_lianliu_normal.png
aEP_des_youjiyan,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_youjiyan_normal.png
aEP_des_youjiyan_mk2,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_youjiyan_mk2_normal.png
aEP_des_yonglang_mk2,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_yonglang_mk2_normal.png
aEP_des_yonglang_mk2_l,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_yonglang_mk2_l_normal.png
aEP_des_yonglang_mk2_r,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_yonglang_mk2_r_normal.png
aEP_des_yonglang_mk2_m,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_des_yonglang_mk2_m01_normal.png
aEP_fga_wanliu,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_fga_wanliu_normal.png
aEP_fga_yonglang,ship,,1.5,normal,graphics/aEP_glib/normals/ships/aEP_fga_yonglang_normal.png
