id,type,frame,magnitude,map,path
aEP_b_l_aa40,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_aa40/hp_br_normal.png
aEP_b_l_aa40,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_aa40/hp_normal.png
aEP_b_l_aa40,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_aa40/tr_br_normal.png
aEP_b_l_aa40,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_aa40/tr_normal.png
aEP_b_l_d100t,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_d100t/hp_br_normal.png
aEP_b_l_d100t,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_d100t/hp_normal.png
aEP_b_l_d100t,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_d100t/tr_br_normal.png
aEP_b_l_d100t,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_d100t/tr_normal.png
aEP_b_l_dg3,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_dg3/hp_br_normal.png
aEP_b_l_dg3,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_dg3/hp_normal.png
aEP_b_l_dg3,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_dg3/tr_br_normal.png
aEP_b_l_dg3,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_dg3/tr_normal.png
aEP_b_l_railway,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_railway/hp_br_normal.png
aEP_b_l_railway,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_railway/hp_normal.png
aEP_b_l_railway,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_railway/tr_br_normal.png
aEP_b_l_railway,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_l_railway/tr_normal.png
aEP_b_m_flak,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_flak/hp_br_normal.png
aEP_b_m_flak,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_flak/hp_normal.png
aEP_b_m_flak,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_flak/tr_br_normal.png
aEP_b_m_flak,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_flak/tr_normal.png
aEP_b_m_h88,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_h88/hp_br_normal.png
aEP_b_m_h88,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_h88/hp_normal.png
aEP_b_m_h88,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_h88/tr_br_normal.png
aEP_b_m_h88,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_h88/tr_normal.png
aEP_b_m_hv7,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_hv7/hp_br_normal.png
aEP_b_m_hv7,weapon,,1,normal,graphics/shaders/normal/weapons/aEP_b_m_hv7/hp_normal.png
