id,type,frame,magnitude,map,path
aEP_cap_biaobing,ship,,1,material,graphics/shaders/material/ships/aEP_cap_biaobing_material.png
aEP_cap_decomposer_Proto,ship,,1,material,graphics/shaders/material/ships/aEP_cap_decomposer_Proto_material.png
aEP_cap_duiliu,ship,,1,material,graphics/shaders/material/ships/aEP_cap_duiliu_material.png
aEP_cap_neibo_armor,ship,,1,material,graphics/shaders/material/ships/aEP_cap_neibo_armor_material.png
aEP_cap_neibo,ship,,1,material,graphics/shaders/material/ships/aEP_cap_neibo_material.png
aEP_cap_neibo_turret,ship,,1,material,graphics/shaders/material/ships/aEP_cap_neibo_turret_material.png
aEP_cap_nuanchi,ship,,1,material,graphics/shaders/material/ships/aEP_cap_nuanchi_material.png
aEP_cap_shangshengliu,ship,,1,material,graphics/shaders/material/ships/aEP_cap_shangshengliu_material.png
aEP_cap_shangshengliu_mk2,ship,,1,material,graphics/shaders/material/ships/aEP_cap_shangshengliu_mk2_material.png
aEP_cap_shangshengliu_mk3,ship,,1,material,graphics/shaders/material/ships/aEP_cap_shangshengliu_mk3_material.png
aEP_cru_hailiang3,ship,,1,material,graphics/shaders/material/ships/aEP_cru_hailiang3_material.png
aEP_cru_hailiang4,ship,,1,material,graphics/shaders/material/ships/aEP_cru_hailiang4_material.png
aEP_cru_hailiang,ship,,1,material,graphics/shaders/material/ships/aEP_cru_hailiang_material.png
aEP_cru_lengshe2,ship,,1,material,graphics/shaders/material/ships/aEP_cru_lengshe2_material.png
aEP_cru_lengshe,ship,,1,material,graphics/shaders/material/ships/aEP_cru_lengshe_material.png
aEP_cru_pingding,ship,,1,material,graphics/shaders/material/ships/aEP_cru_pingding_material.png
aEP_cru_pubu,ship,,1,material,graphics/shaders/material/ships/aEP_cru_pubu_material.png
aEP_cru_requan,ship,,1,material,graphics/shaders/material/ships/aEP_cru_requan_material.png
aEP_cru_shanhu,ship,,1,material,graphics/shaders/material/ships/aEP_cru_shanhu_material.png
aEP_cru_zhongliu,ship,,1,material,graphics/shaders/material/ships/aEP_cru_zhongliu_material.png
aEP_des_cengliu,ship,,1,material,graphics/shaders/material/ships/aEP_des_cengliu_material.png
aEP_des_lianliu,ship,,1,material,graphics/shaders/material/ships/aEP_des_lianliu_material.png
aEP_des_shenceng,ship,,1,material,graphics/shaders/material/ships/aEP_des_shenceng_material.png
aEP_des_shenceng_mk2,ship,,1,material,graphics/shaders/material/ships/aEP_des_shenceng_mk2_material.png
aEP_des_shuishi,ship,,1,material,graphics/shaders/material/ships/aEP_des_shuishi_material.png
aEP_des_taodong,ship,,1,material,graphics/shaders/material/ships/aEP_des_taodong_material.png
aEP_des_yangji,ship,,1,material,graphics/shaders/material/ships/aEP_des_yangji_material.png
aEP_des_yangji_mk2,ship,,1,material,graphics/shaders/material/ships/aEP_des_yangji_mk2_material.png
aEP_des_yonglang_mk2_l,ship,,1,material,graphics/shaders/material/ships/aEP_des_yonglang_mk2_l_material.png
aEP_des_yonglang_mk2_m01,ship,,1,material,graphics/shaders/material/ships/aEP_des_yonglang_mk2_m01_material.png
aEP_des_yonglang_mk2,ship,,1,material,graphics/shaders/material/ships/aEP_des_yonglang_mk2_material.png
aEP_des_yonglang_mk2_r,ship,,1,material,graphics/shaders/material/ships/aEP_des_yonglang_mk2_r_material.png
aEP_des_youjiyan,ship,,1,material,graphics/shaders/material/ships/aEP_des_youjiyan_material.png
aEP_des_youjiyan_mk2,ship,,1,material,graphics/shaders/material/ships/aEP_des_youjiyan_mk2_material.png
aEP_fga_chichao,ship,,1,material,graphics/shaders/material/ships/aEP_fga_chichao_material.png
aEP_fga_raoliu,ship,,1,material,graphics/shaders/material/ships/aEP_fga_raoliu_material.png
aEP_fga_wanliu,ship,,1,material,graphics/shaders/material/ships/aEP_fga_wanliu_material.png
aEP_fga_xiliu,ship,,1,material,graphics/shaders/material/ships/aEP_fga_xiliu_material.png
aEP_fga_xiliu_mk2,ship,,1,material,graphics/shaders/material/ships/aEP_fga_xiliu_mk2_material.png
aEP_fga_yonglang,ship,,1,material,graphics/shaders/material/ships/aEP_fga_yonglang_material.png
aEP_typea028,ship,,1,material,graphics/shaders/material/ships/aEP_typea028_material.png
aEP_typeb028,ship,,1,material,graphics/shaders/material/ships/aEP_typeb028_material.png
aEP_typel028,ship,,1,material,graphics/shaders/material/ships/aEP_typel028_material.png
aEP_typer028,ship,,1,material,graphics/shaders/material/ships/aEP_typer028_material.png
