id,type,frame,magnitude,map,path
aEP_cap_biaobing,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_biaobing_surface.png
aEP_cap_decomposer_Proto,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_decomposer_Proto_surface.png
aEP_cap_duiliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_duiliu_surface.png
aEP_cap_neibo_armor,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_neibo_armor_surface.png
aEP_cap_neibo,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_neibo_surface.png
aEP_cap_neibo_turret,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_neibo_turret_surface.png
aEP_cap_nuanchi,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_nuanchi_surface.png
aEP_cap_shangshengliu_mk2,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_shangshengliu_mk2_surface.png
aEP_cap_shangshengliu_mk3,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_shangshengliu_mk3_surface.png
aEP_cap_shangshengliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_cap_shangshengliu_surface.png
aEP_cru_hailiang3,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_hailiang3_surface.png
aEP_cru_hailiang4,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_hailiang4_surface.png
aEP_cru_hailiang,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_hailiang_surface.png
aEP_cru_lengshe2,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_lengshe2_surface.png
aEP_cru_lengshe,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_lengshe_surface.png
aEP_cru_pingding,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_pingding_surface.png
aEP_cru_pubu,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_pubu_surface.png
aEP_cru_requan,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_requan_surface.png
aEP_cru_shanhu,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_shanhu_surface.png
aEP_cru_zhongliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_cru_zhongliu_surface.png
aEP_des_cengliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_cengliu_surface.png
aEP_des_lianliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_lianliu_surface.png
aEP_des_shenceng_mk2,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_shenceng_mk2_surface.png
aEP_des_shenceng,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_shenceng_surface.png
aEP_des_shuishi,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_shuishi_surface.png
aEP_des_taodong,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_taodong_surface.png
aEP_des_yangji_mk2,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_yangji_mk2_surface.png
aEP_des_yangji,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_yangji_surface.png
aEP_des_yonglang_mk2_l,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_l_surface.png
aEP_des_yonglang_mk2_m01,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_m01_surface.png
aEP_des_yonglang_mk2_r,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_r_surface.png
aEP_des_yonglang_mk2,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_yonglang_mk2_surface.png
aEP_des_youjiyan_mk2,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_youjiyan_mk2_surface.png
aEP_des_youjiyan,ship,,1,surface,graphics/shaders/surface/ships/aEP_des_youjiyan_surface.png
aEP_fga_chichao,ship,,1,surface,graphics/shaders/surface/ships/aEP_fga_chichao_surface.png
aEP_fga_raoliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_fga_raoliu_surface.png
aEP_fga_wanliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_fga_wanliu_surface.png
aEP_fga_xiliu_mk2,ship,,1,surface,graphics/shaders/surface/ships/aEP_fga_xiliu_mk2_surface.png
aEP_fga_xiliu,ship,,1,surface,graphics/shaders/surface/ships/aEP_fga_xiliu_surface.png
aEP_fga_yonglang,ship,,1,surface,graphics/shaders/surface/ships/aEP_fga_yonglang_surface.png
aEP_typea028,ship,,1,surface,graphics/shaders/surface/ships/aEP_typea028_surface.png
aEP_typeb028,ship,,1,surface,graphics/shaders/surface/ships/aEP_typeb028_surface.png
aEP_typel028,ship,,1,surface,graphics/shaders/surface/ships/aEP_typel028_surface.png
aEP_typer028,ship,,1,surface,graphics/shaders/surface/ships/aEP_typer028_surface.png
